user_id,email,country_code,signup_channel,kyc_status,created_at,updated_at
1,user1@example.com,NG,paid_ad,verified,2026-02-13T05:40:50+00:00,2026-02-13T05:40:50+00:00
2,user2@example.com,IN,organic,pending,2026-04-06T02:33:27+00:00,2026-04-06T02:33:27+00:00
3,user3@example.com,US,paid_ad,verified,2026-07-31T19:11:04+00:00,2026-07-31T19:11:04+00:00
4,user4@example.com,NG,organic,verified,2026-01-13T08:14:09+00:00,2026-01-13T08:14:09+00:00
5,user5@example.com,ID,paid_ad,pending,2026-04-01T08:33:24+00:00,2026-04-01T08:33:24+00:00
6,user6@example.com,IN,paid_ad,rejected,2026-08-06T23:10:59+00:00,2026-08-06T23:10:59+00:00
7,user7@example.com,IN,referral,rejected,2026-06-12T22:12:29+00:00,2026-06-12T22:12:29+00:00
8,user8@example.com,NG,organic,verified,2026-04-19T00:55:31+00:00,2026-04-19T00:55:31+00:00
9,user9@example.com,PH,organic,verified,2026-05-13T03:21:52+00:00,2026-05-13T03:21:52+00:00
10,user10@example.com,US,organic,verified,2026-05-11T17:17:18+00:00,2026-05-11T17:17:18+00:00
11,user11@example.com,KE,referral,rejected,2026-02-07T13:27:43+00:00,2026-02-07T13:27:43+00:00
12,user12@example.com,NG,paid_ad,verified,2026-04-13T17:30:47+00:00,2026-04-13T17:30:47+00:00
13,user13@example.com,US,referral,pending,2026-07-28T06:00:29+00:00,2026-07-28T06:00:29+00:00
14,user14@example.com,PH,paid_ad,rejected,2026-08-03T09:23:29+00:00,2026-08-03T09:23:29+00:00
15,user15@example.com,ZA,organic,pending,2026-05-21T10:40:57+00:00,2026-05-21T10:40:57+00:00
16,user16@example.com,IN,referral,pending,2026-01-18T19:06:51+00:00,2026-01-18T19:06:51+00:00
17,user17@example.com,US,referral,verified,2026-04-01T09:46:05+00:00,2026-04-01T09:46:05+00:00
18,user18@example.com,KE,organic,verified,2026-06-26T02:05:25+00:00,2026-06-26T02:05:25+00:00
19,user19@example.com,IN,paid_ad,verified,2026-05-18T23:21:46+00:00,2026-05-18T23:21:46+00:00
20,user20@example.com,ZA,paid_ad,verified,2026-01-28T17:31:10+00:00,2026-01-28T17:31:10+00:00
21,user21@example.com,IN,organic,verified,2026-07-27T10:32:40+00:00,2026-07-27T10:32:40+00:00
22,user22@example.com,PH,paid_ad,rejected,2026-05-28T08:46:51+00:00,2026-05-28T08:46:51+00:00
23,user23@example.com,KE,organic,verified,2026-03-27T06:57:42+00:00,2026-03-27T06:57:42+00:00
24,user24@example.com,KE,referral,verified,2026-01-13T11:11:45+00:00,2026-01-13T11:11:45+00:00
25,user25@example.com,IN,paid_ad,verified,2026-01-26T16:55:21+00:00,2026-01-26T16:55:21+00:00
26,user26@example.com,BR,referral,verified,2026-03-24T13:49:22+00:00,2026-03-24T13:49:22+00:00
27,user27@example.com,PH,organic,verified,2026-02-25T11:39:35+00:00,2026-02-25T11:39:35+00:00
28,user28@example.com,ID,referral,rejected,2026-08-07T00:19:48+00:00,2026-08-07T00:19:48+00:00
29,user29@example.com,ZA,referral,verified,2026-06-16T09:17:33+00:00,2026-06-16T09:17:33+00:00
30,user30@example.com,GB,paid_ad,verified,2026-03-27T04:13:03+00:00,2026-03-27T04:13:03+00:00
31,user31@example.com,NG,organic,verified,2026-02-05T07:20:13+00:00,2026-02-05T07:20:13+00:00
32,user32@example.com,VN,paid_ad,pending,2026-03-04T03:08:25+00:00,2026-03-04T03:08:25+00:00
33,user33@example.com,VN,paid_ad,verified,2026-05-30T10:17:28+00:00,2026-05-30T10:17:28+00:00
34,user34@example.com,PH,paid_ad,pending,2026-07-25T11:42:11+00:00,2026-07-25T11:42:11+00:00
35,user35@example.com,ID,referral,verified,2026-02-14T11:41:58+00:00,2026-02-14T11:41:58+00:00
36,user36@example.com,PH,referral,verified,2026-02-13T07:44:29+00:00,2026-02-13T07:44:29+00:00
